s_no,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,AFG,Asia,Afghanistan,21/04/2024,233472,0,0,7985,0,0,5676.61,0,0,194.146,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,
1,OWID_AFR,,Africa,21/04/2024,13140629,87,12.429,259098,0,0,9210.27,0.061,0.009,181.602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426736614,,,,
2,ALB,Europe,Albania,21/04/2024,334863,0,0,3605,0,0,117813.348,0,0,1268.331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,
3,DZA,Africa,Algeria,21/04/2024,272023,2,0.286,6881,0,0,6057.983,0.045,0.006,153.241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,,,,
4,ASM,Oceania,American Samoa,21/04/2024,8359,0,0,34,0,0,188712.044,0,0,767.581,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295,,,,
5,AND,Europe,Andorra,21/04/2024,48015,0,0,159,0,0,601367.684,0,0,1991.408,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843,,,,
6,AGO,Africa,Angola,21/04/2024,107371,6,0.857,1937,0,0,3016.972,0.169,0.024,54.427,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996,,,,
7,AIA,North America,Anguilla,21/04/2024,3904,0,0,12,0,0,245890.282,0,0,755.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877,,,,
8,ATG,North America,Antigua and Barbuda,21/04/2024,9106,0,0,146,0,0,97107.879,0,0,1556.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,
9,ARG,South America,Argentina,21/04/2024,10131173,140,20,130853,0,0,222612.632,3.076,0.439,2875.238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
10,ARM,Asia,Armenia,21/04/2024,451831,0,0,8777,0,0,162501.547,0,0,3156.658,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,,,,
11,ABW,North America,Aruba,21/04/2024,44224,0,0,292,0,0,415408.749,0,0,2742.84,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,
12,OWID_ASI,,Asia,07/05/2024,301403368,3252,464.571,1636895,28,4,63837.936,0.689,0.098,346.698,0.006,0.001,,,,,,,,,,,,,,,,,,,9102111272,3689175055,3461831010,1814837873,21,214,192.78,78.14,73.32,38.44,0,10,0,,,,,,,,,,,,,,,,4721383370,,,,
13,AUS,Oceania,Australia,21/04/2024,11836372,4399,628.429,25165,17,2.429,452159.782,168.046,24.007,961.325,0.649,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
14,AUT,Europe,Austria,21/04/2024,6082343,1,0.143,22534,0,0,680380.714,0.112,0.016,2520.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617,,,,
15,AZE,Asia,Azerbaijan,21/04/2024,835327,0,0,10353,0,0,80644.981,0,0,999.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,10358078,,,,
16,BHS,North America,Bahamas,21/04/2024,38084,0,0,844,0,0,92890.297,0,0,2058.592,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989,,,,
17,BHR,Asia,Bahrain,21/04/2024,696614,0,0,1536,0,0,473167.024,0,0,1043.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,1472237,,,,
18,BGD,Asia,Bangladesh,05/05/2024,2049850,122,17.429,29494,1,0.143,11974.376,0.713,0.102,172.292,0.006,0.001,,,,,,,,,,,,,,,,,,,361732137,151507142,142200862,68605675,52,11,211.31,88.5,83.07,40.08,0,1,0,,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,171186368,,,,
19,BRB,North America,Barbados,21/04/2024,110592,1,0.143,593,0,0,392663.13,3.551,0.507,2105.48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646,,,,
20,BLR,Europe,Belarus,21/04/2024,994037,0,0,7118,0,0,104251.871,0,0,746.516,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,9534956,,,,
21,BEL,Europe,Belgium,21/04/2024,4861393,121,17.286,34339,0,0,417074.907,10.381,1.483,2946.056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,
22,BLZ,North America,Belize,21/04/2024,71409,0,0,688,0,0,176194.53,0,0,1697.571,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285,,,,
23,BEN,Africa,Benin,21/04/2024,28036,0,0,163,0,0,2099.624,0,0,12.207,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864,,,,
24,BMU,North America,Bermuda,21/04/2024,18860,0,0,165,0,0,293737.443,0,0,2569.813,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,64207,,,,
25,BTN,Asia,Bhutan,21/04/2024,62697,0,0,21,0,0,80128.365,0,0,26.839,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457,,,,
26,BOL,South America,Bolivia,21/04/2024,1212131,0,0,22387,0,0,99159.007,0,0,1831.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114,,,,
27,BES,North America,Bonaire Sint Eustatius and Saba,21/04/2024,11922,0,0,41,0,0,440706.787,0,0,1515.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.79,,27052,,,,
28,BIH,Europe,Bosnia and Herzegovina,21/04/2024,403637,4,0.571,16388,0,0,124828.593,1.237,0.177,5068.145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530,,,,
29,BWA,Africa,Botswana,21/04/2024,330650,0,0,2801,0,0,125708.094,0,0,1064.898,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,
30,BRA,South America,Brazil,21/04/2024,37519960,0,0,702116,0,0,174257.347,0,0,3260.901,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504,,,,
31,VGB,North America,British Virgin Islands,21/04/2024,7392,0,0,64,0,0,235924.933,0,0,2042.64,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332,,,,
32,BRN,Asia,Brunei,21/04/2024,343851,25,3.571,178,0,0,765811.734,55.679,7.954,396.435,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,
33,BGR,Europe,Bulgaria,07/05/2024,1329225,21,3,38700,0,0,195994.37,3.096,0.442,5706.319,0,0,,,,,,,,,,,,,,,,,,,4726470,,2078005,,4,1,69.69,,30.64,,0,,,,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955,,,,
34,BFA,Africa,Burkina Faso,21/04/2024,22122,0,0,400,0,0,975.665,0,0,17.642,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764,,,,
35,BDI,Africa,Burundi,21/04/2024,54569,0,0,15,0,0,4233.574,0,0,1.164,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583,,,,
36,KHM,Asia,Cambodia,21/04/2024,139103,0,0,3056,0,0,8295.816,0,0,182.254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,16767851,,,,
37,CMR,Africa,Cameroon,21/04/2024,125156,0,0,1974,0,0,4483.541,0,0,70.716,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542,,,,
38,CAN,North America,Canada,01/05/2024,4789387,202,28.857,54282,1,0.143,124547.411,5.253,0.75,1411.597,0.026,0.004,,,,,,,,,,,,,,,,,,,102517452,,,34594067,2168,3546,266.6,,,89.96,92,,,,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
39,CPV,Africa,Cape Verde,21/04/2024,64474,0,0,417,0,0,108695.432,0,0,703.012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162,,,,
40,CYM,North America,Cayman Islands,21/04/2024,31472,0,0,37,0,0,457961.061,0,0,538.401,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,
41,CAF,Africa,Central African Republic,21/04/2024,15440,0,0,113,0,0,2767.448,0,0,20.254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,5579148,,,,
42,TCD,Africa,Chad,21/04/2024,7702,0,0,194,0,0,434.569,0,0,10.946,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312,,,,
43,CHL,South America,Chile,21/04/2024,5399561,353,50.429,62669,28,4,275435.305,18.007,2.572,3196.789,1.428,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
44,CHN,Asia,China,21/04/2024,99351758,1431,204.429,122170,17,2.429,69677.143,1.004,0.143,85.68,0.012,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
45,COL,South America,Colombia,21/04/2024,6385025,151,21.571,142727,0,0,123087.126,2.911,0.416,2751.415,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
46,COM,Africa,Comoros,21/04/2024,9109,0,0,160,0,0,10885.737,0,0,191.208,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783,,,,
47,COG,Africa,Congo,21/04/2024,25218,0,0,389,0,0,4223.816,0,0,65.154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430,,,,
48,COK,Oceania,Cook Islands,21/04/2024,7324,0,0,2,0,0,430014.091,0,0,117.426,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032,,,,
49,CRI,North America,Costa Rica,21/04/2024,1230653,0,0,9368,0,0,237539.463,0,0,1808.202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
50,CIV,Africa,Cote d'Ivoire,21/04/2024,88421,5,0.714,835,0,0,3139.889,0.178,0.025,29.651,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548,,,,
51,HRV,Europe,Croatia,21/04/2024,1316878,34,4.857,18752,0,0,326739.466,8.436,1.205,4652.685,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,
52,CUB,North America,Cuba,21/04/2024,1113662,0,0,8530,0,0,99325.931,0,0,760.779,0,0,,,,,,,,,,,,,,,,,,,45995747,10805570,10053658,8792717,,1734,410.23,96.37,89.67,78.42,155,254,0.002,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198,,,,
53,CUW,North America,Curacao,21/04/2024,45883,0,0,305,0,0,240007.742,0,0,1595.414,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173,,,,
54,CYP,Europe,Cyprus,21/04/2024,690791,0,0,1442,0,0,770966.075,0,0,1609.362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,
55,CZE,Europe,Czechia,07/05/2024,4759172,59,8.429,43503,0,0,453514.059,5.622,0.803,4145.516,0,0,,0,0,4,0.381,0,0,10,0.953,,,,,,,,,,19047721,6982172,6895964,5581637,4,9,181.51,66.53,65.71,53.19,1,0,0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
56,COD,Africa,Democratic Republic of Congo,21/04/2024,99338,0,0,1468,0,0,1003.311,0,0,14.827,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216,,,,
57,DNK,Europe,Denmark,21/04/2024,3434977,38,5.429,9666,3,0.429,583955.416,6.46,0.923,1643.246,0.51,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
58,DJI,Africa,Djibouti,21/04/2024,15690,0,0,189,0,0,13998.292,0,0,168.622,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851,,,,
59,DMA,North America,Dominica,21/04/2024,16047,0,0,74,0,0,220553.066,0,0,1017.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,72758,,,,
60,DOM,North America,Dominican Republic,21/04/2024,661181,0,0,4384,0,0,58882.495,0,0,390.424,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821,,,,
61,ECU,South America,Ecuador,21/04/2024,1076089,124,17.714,36048,0,0,59779.395,6.889,0.984,2002.555,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,18001002,,,,
62,EGY,Africa,Egypt,21/04/2024,516023,0,0,24830,0,0,4649.271,0,0,223.714,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096,,,,
63,SLV,North America,El Salvador,21/04/2024,201865,1,0.143,4230,0,0,31858.03,0.158,0.023,667.572,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393,,,,
64,GNQ,Africa,Equatorial Guinea,21/04/2024,17130,0,0,183,0,0,10227.379,0,0,109.259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916,,,,
65,ERI,Africa,Eritrea,21/04/2024,10189,0,0,103,0,0,2765.713,0,0,27.958,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041,,,,
66,EST,Europe,Estonia,06/05/2024,610335,7,1,2998,0,0,460260.591,5.279,0.754,2260.826,0,0,,,,,,,,,,,,,,,,,,,2171084,870175,862706,658952,2,3,163.72,65.62,65.06,49.69,2,0,0,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,
67,SWZ,Africa,Eswatini,21/04/2024,75191,0,0,1427,0,0,62571.566,0,0,1187.504,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680,,,,
68,ETH,Africa,Ethiopia,21/04/2024,501165,2,0.286,7574,0,0,4061.965,0.016,0.002,61.388,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,
69,OWID_EUR,,Europe,07/05/2024,252520795,20536,2933.714,2100197,74,10.571,339041.554,27.572,3.939,2819.784,0.099,0.014,,,,,,,,,,,,,,,,,,,1395262306,523273016,493163630,362542649,10,49,187.33,70.26,66.21,48.68,0,5,0,,,,,,,,,,,,,,,,744807803,,,,
70,OWID_EUN,,European Union,07/05/2024,185629180,2481,354.429,1261184,19,2.714,412374.769,5.512,0.787,2801.717,0.042,0.006,,,,,,,,,,,,,,,,,,,951109949,338071402,327967359,282436527,10,49,211.29,75.1,72.86,62.74,0,5,0,,,,,,,,,,,,,,,,450146793,,,,
71,FRO,Europe,Faeroe Islands,21/04/2024,34658,0,0,28,0,0,652484.139,0,0,527.138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117,,,,
72,FLK,South America,Falkland Islands,21/04/2024,1923,0,0,,0,0,505919.495,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801,,,,
73,FJI,Oceania,Fiji,21/04/2024,69047,0,0,885,0,0,74262.532,0,0,951.849,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769,,,,
74,FIN,Europe,Finland,21/04/2024,1499712,0,0,11466,0,0,270669.738,0,0,2069.397,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,
75,FRA,Europe,France,21/04/2024,38997490,,,168091,,,603427.621,,,2600.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000,,,,
76,GUF,South America,French Guiana,21/04/2024,98041,0,0,413,0,0,321901.841,0,0,1356.019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568,,,,
77,PYF,Oceania,French Polynesia,21/04/2024,79302,1,0.143,650,0,0,258909.798,3.265,0.466,2122.158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,
78,GAB,Africa,Gabon,21/04/2024,49051,0,0,307,0,0,20532.048,0,0,128.506,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997,,,,
79,GMB,Africa,Gambia,21/04/2024,12626,0,0,372,0,0,4665.936,0,0,137.473,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995,,,,
80,GEO,Asia,Georgia,21/04/2024,1862754,0,0,17150,0,0,497479.292,0,0,4580.191,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385,,,,
81,DEU,Europe,Germany,21/04/2024,38437756,,,174979,,,461051.095,,,2098.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,
82,GHA,Africa,Ghana,21/04/2024,171966,34,4.857,1462,0,0,5137.014,1.016,0.145,43.673,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870,,,,
83,GIB,Europe,Gibraltar,21/04/2024,20550,0,0,113,0,0,628882.7,0,0,3458.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32677,,,,
84,GRC,Europe,Greece,02/05/2024,5632043,1325,189.286,39003,6,0.857,542326.258,127.588,18.227,3755.715,0.578,0.083,,,,,,,,,,,,,,,,,,,22467109,7937924,7647061,7461201,9,27,216.34,76.44,73.64,71.85,3,3,0,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,10384972,,,,
85,GRL,North America,Greenland,21/04/2024,11971,0,0,21,0,0,211898.609,0,0,371.721,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,199.941,2.16,,,,,71.7,,56494,,,,
86,GRD,North America,Grenada,21/04/2024,19693,0,0,238,0,0,156967.615,0,0,1897.034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459,,,,
87,GLP,North America,Guadeloupe,21/04/2024,203235,0,0,1021,0,0,513528.333,0,0,2579.833,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762,,,,
88,GUM,Oceania,Guam,21/04/2024,52287,0,0,419,0,0,304378.198,0,0,2439.124,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783,,,,
89,GTM,North America,Guatemala,21/04/2024,1250354,3,0.429,20214,0,0,70071.734,0.168,0.024,1132.823,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914,,,,
90,GGY,Europe,Guernsey,21/04/2024,35326,0,0,67,0,0,557817.114,0,0,1057.967,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63329,,,,
91,GIN,Africa,Guinea,21/04/2024,38572,0,0,468,0,0,2783.103,0,0,33.768,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349,,,,
92,GNB,Africa,Guinea-Bissau,21/04/2024,9614,0,0,177,0,0,4565.963,0,0,84.062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580,,,,
